epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.154,2.9647,37.4814,5.4741,4.78055,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.000208333,0.000208333,0.000208333
2,26.4638,2.93111,59.2338,5.53645,4.79696,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.00058375,0.00058375,0.00058375
3,38.8513,3.30731,45.2788,5.78008,4.66527,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.000904167,0.000904167,0.000904167
4,50.5609,3.19067,36.381,5.88443,4.71252,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.0010025,0.0010025,0.0010025
5,62.1544,3.33881,59.3734,6.18284,4.76543,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.00092,0.00092,0.00092
6,74.3,2.60219,52.5168,5.47611,4.8998,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.0008375,0.0008375,0.0008375
7,86.733,2.795,63.3902,6.38263,4.69681,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.000755,0.000755,0.000755
8,98.5672,3.01904,69.3204,6.2345,4.92632,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.0006725,0.0006725,0.0006725
9,110.364,3.00389,62.5565,6.86237,4.73086,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.00059,0.00059,0.00059
10,122.396,2.67653,53.0385,6.16393,4.67516,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.0005075,0.0005075,0.0005075
11,134.089,2.71554,53.6899,6.37375,4.67336,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.000425,0.000425,0.000425
12,145.875,2.5749,66.3426,6.69623,4.80332,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.0003425,0.0003425,0.0003425
13,157.706,2.86165,50.3382,6.09528,4.68367,0,0,0,0,0,0,0,0,0,3.82517,5.21407,5.31999,4.15872,0,0.00026,0.00026,0.00026
14,170.043,2.48265,50.7282,6.05509,5.08887,0,0,0,0,0,0,0,0,0,3.82808,5.2148,5.32442,4.15559,0,0.0001775,0.0001775,0.0001775
15,181.8,3.19408,32.3954,6.04468,4.76727,0,0,0,0,0,0,0,0,0,3.82808,5.2148,5.32442,4.15559,0,9.5e-05,9.5e-05,9.5e-05
